,Name,Season,Tag,Team,Salary,role,bat_type,bowl_type,nationality,player2,team,bowl_type2
1817,Pawan Suyal,2011,,Mumbai Indians,"10,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Pawan Suyal,2011-Mumbai Indians,Pace
518,Pradeep Sangwan,2012,,Kolkata Knight Riders,"20,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Pradeep Sangwan,2012-Kolkata Knight Riders,Pace
1879,Jaydev Unadkat,2012,,Kolkata Knight Riders,"1,15,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Jaydev Unadkat,2012-Kolkata Knight Riders,Pace
1816,Pawan Suyal,2012,,Mumbai Indians,"10,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Pawan Suyal,2012-Mumbai Indians,Pace
2153,P Parameswaran,2012,,Royal Challengers Bangalore,"10,00,000",Bowler,Right Handed Bat,Left-arm medium,India,P Parameswaran,2012-Royal Challengers Bangalore,Pace
2255,Aniket Choudhary,2013,,Kings XI Punjab,"10,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Aniket Choudhary,2013-Kings XI Punjab,Pace
517,Pradeep Sangwan,2013,,Kolkata Knight Riders,"20,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Pradeep Sangwan,2013-Kolkata Knight Riders,Pace
1815,Pawan Suyal,2013,,Mumbai Indians,"10,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Pawan Suyal,2013-Mumbai Indians,Pace
1878,Jaydev Unadkat,2013,,Royal Challengers Bangalore,"2,41,50,000",Bowler,Right Handed Bat,Left-arm medium,India,Jaydev Unadkat,2013-Royal Challengers Bangalore,Pace
2152,P Parameswaran,2013,,Royal Challengers Bangalore,"10,00,000",Bowler,Right Handed Bat,Left-arm medium,India,P Parameswaran,2013-Royal Challengers Bangalore,Pace
1877,Jaydev Unadkat,2014,,Delhi Daredevils,"2,80,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Jaydev Unadkat,2014-Delhi Daredevils,Pace
1814,Pawan Suyal,2014,,Mumbai Indians,"10,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Pawan Suyal,2014-Mumbai Indians,Pace
1876,Jaydev Unadkat,2015,,Delhi Daredevils,"1,10,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Jaydev Unadkat,2015-Delhi Daredevils,Pace
1813,Pawan Suyal,2015,,Mumbai Indians,"10,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Pawan Suyal,2015-Mumbai Indians,Pace
1812,Pawan Suyal,2016,,Delhi Daredevils,"10,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Pawan Suyal,2016-Delhi Daredevils,Pace
2679,Khaleel Ahmed,2016,,Delhi Daredevils,"10,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Khaleel Ahmed,2016-Delhi Daredevils,Pace
2685,Sam billings,2016,,Delhi Daredevils,"30,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Sam billings,2016-Delhi Daredevils,Pace
516,Pradeep Sangwan,2016,,Gujarat Lions,"20,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Pradeep Sangwan,2016-Gujarat Lions,Pace
1875,Jaydev Unadkat,2016,,Kolkata Knight Riders,"1,60,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Jaydev Unadkat,2016-Kolkata Knight Riders,Pace
2678,Khaleel Ahmed,2017,,Delhi Daredevils,"10,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Khaleel Ahmed,2017-Delhi Daredevils,Pace
2684,Sam billings,2017,,Delhi Daredevils,"30,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Sam billings,2017-Delhi Daredevils,Pace
515,Pradeep Sangwan,2017,,Gujarat Lions,"20,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Pradeep Sangwan,2017-Gujarat Lions,Pace
1874,Jaydev Unadkat,2017,,Rising Pune Supergiant,"30,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Jaydev Unadkat,2017-Rising Pune Supergiant,Pace
2254,Aniket Choudhary,2017,,Royal Challengers Bangalore,"2,00,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Aniket Choudhary,2017-Royal Challengers Bangalore,Pace
2683,Sam billings,2018,,Chennai Super Kings,"1,00,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Sam billings,2018-Chennai Super Kings,Pace
2903,Kanishk Seth,2018,,Chennai Super Kings,"20,00,000",Allrounder,Right Handed Bat,Left-arm medium,India,Kanishk Seth,2018-Chennai Super Kings,Pace
514,Pradeep Sangwan,2018,,Mumbai Indians,"1,50,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Pradeep Sangwan,2018-Mumbai Indians,Pace
1873,Jaydev Unadkat,2018,,Rajasthan Royals,"11,50,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Jaydev Unadkat,2018-Rajasthan Royals,Pace
2253,Aniket Choudhary,2018,,Royal Challengers Bangalore,"30,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Aniket Choudhary,2018-Royal Challengers Bangalore,Pace
2677,Khaleel Ahmed,2018,,Sunrisers Hyderabad,"3,00,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Khaleel Ahmed,2018-Sunrisers Hyderabad,Pace
2682,Sam billings,2019,Retain,Chennai Super Kings,"1,00,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Sam billings,2019-Chennai Super Kings,Pace
1872,Jaydev Unadkat,2019,,Rajasthan Royals,"8,40,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Jaydev Unadkat,2019-Rajasthan Royals,Pace
2676,Khaleel Ahmed,2019,Retain,Sunrisers Hyderabad,"3,00,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Khaleel Ahmed,2019-Sunrisers Hyderabad,Pace
1871,Jaydev Unadkat,2020,,Rajasthan Royals,"3,00,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Jaydev Unadkat,2020-Rajasthan Royals,Pace
2675,Khaleel Ahmed,2020,Retain,Sunrisers Hyderabad,"3,00,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Khaleel Ahmed,2020-Sunrisers Hyderabad,Pace
2681,Sam billings,2021,,Delhi Capitals,"2,00,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Sam billings,2021-Delhi Capitals,Pace
1870,Jaydev Unadkat,2021,,Rajasthan Royals,"3,00,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Jaydev Unadkat,2021-Rajasthan Royals,Pace
2674,Khaleel Ahmed,2021,,Sunrisers Hyderabad,"3,00,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Khaleel Ahmed,2021-Sunrisers Hyderabad,Pace
2673,Khaleel Ahmed,2022,,Delhi Capitals,"5,25,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Khaleel Ahmed,2022-Delhi Capitals,Pace
513,Pradeep Sangwan,2022,,Gujarat Titans,"20,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Pradeep Sangwan,2022-Gujarat Titans,Pace
2680,Sam billings,2022,,Kolkata Knight Riders,"2,00,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Sam billings,2022-Kolkata Knight Riders,Pace
1869,Jaydev Unadkat,2022,,Mumbai Indians,"1,30,00,000",Bowler,Right Handed Bat,Left-arm medium,India,Jaydev Unadkat,2022-Mumbai Indians,Pace
355,Irfan Pathan,2008,,Kings XI Punjab,"3,70,00,000",Allrounder,Left Handed Bat,Left-arm medium-fast,India,Irfan Pathan,2008-Kings XI Punjab,Pace
240,Sohail Tanvir,2008,,Rajasthan Royals,"40,16,000",Bowler,Left Handed Bat,Left-arm medium-fast,Pakistan,Sohail Tanvir,2008-Rajasthan Royals,Pace
354,Irfan Pathan,2009,,Kings XI Punjab,"3,70,00,000",Allrounder,Left Handed Bat,Left-arm medium-fast,India,Irfan Pathan,2009-Kings XI Punjab,Pace
1140,Kamran Khan,2009,,Rajasthan Royals,"6,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Kamran Khan,2009-Rajasthan Royals,Pace
1179,Ashraf Makda,2009,,Rajasthan Royals,"6,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Ashraf Makda,2009-Rajasthan Royals,Pace
1317,Sreenath Aravind,2009,,Royal Challengers Bangalore,"8,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Sreenath Aravind,2009-Royal Challengers Bangalore,Pace
1519,Wayne Parnell,2010,,Delhi Daredevils,"2,82,36,900",Bowler,Left Handed Bat,Left-arm medium-fast,South Africa,Wayne Parnell,2010-Delhi Daredevils,Pace
353,Irfan Pathan,2010,,Kings XI Punjab,"3,70,00,000",Allrounder,Left Handed Bat,Left-arm medium-fast,India,Irfan Pathan,2010-Kings XI Punjab,Pace
1597,Eklak Ahmid,2010,,Kolkata Knight Riders,"6,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Eklak Ahmid,2010-Kolkata Knight Riders,Pace
1139,Kamran Khan,2010,,Rajasthan Royals,"6,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Kamran Khan,2010-Rajasthan Royals,Pace
1486,Shrikant Wagh,2010,,Rajasthan Royals,"8,00,000",Allrounder,Left Handed Bat,Left-arm medium-fast,India,Shrikant Wagh,2010-Rajasthan Royals,Pace
352,Irfan Pathan,2011,,Delhi Daredevils,"8,74,00,000",Allrounder,Left Handed Bat,Left-arm medium-fast,India,Irfan Pathan,2011-Delhi Daredevils,Pace
1518,Wayne Parnell,2011,,Pune Warriors India,"73,60,000",Bowler,Left Handed Bat,Left-arm medium-fast,South Africa,Wayne Parnell,2011-Pune Warriors India,Pace
1138,Kamran Khan,2011,,Pune Warriors India,"10,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Kamran Khan,2011-Pune Warriors India,Pace
1485,Shrikant Wagh,2011,,Pune Warriors India,"20,00,000",Allrounder,Left Handed Bat,Left-arm medium-fast,India,Shrikant Wagh,2011-Pune Warriors India,Pace
1316,Sreenath Aravind,2011,,Royal Challengers Bangalore,"20,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Sreenath Aravind,2011-Royal Challengers Bangalore,Pace
351,Irfan Pathan,2012,,Delhi Daredevils,"8,74,00,000",Allrounder,Left Handed Bat,Left-arm medium-fast,India,Irfan Pathan,2012-Delhi Daredevils,Pace
1517,Wayne Parnell,2012,,Pune Warriors India,"80,43,200",Bowler,Left Handed Bat,Left-arm medium-fast,South Africa,Wayne Parnell,2012-Pune Warriors India,Pace
1137,Kamran Khan,2012,,Pune Warriors India,"10,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Kamran Khan,2012-Pune Warriors India,Pace
1484,Shrikant Wagh,2012,,Pune Warriors India,"20,00,000",Allrounder,Left Handed Bat,Left-arm medium-fast,India,Shrikant Wagh,2012-Pune Warriors India,Pace
1315,Sreenath Aravind,2012,,Royal Challengers Bangalore,"20,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Sreenath Aravind,2012-Royal Challengers Bangalore,Pace
350,Irfan Pathan,2013,,Delhi Daredevils,"8,74,00,000",Allrounder,Left Handed Bat,Left-arm medium-fast,India,Irfan Pathan,2013-Delhi Daredevils,Pace
1516,Wayne Parnell,2013,,Pune Warriors India,"85,23,200",Bowler,Left Handed Bat,Left-arm medium-fast,South Africa,Wayne Parnell,2013-Pune Warriors India,Pace
1483,Shrikant Wagh,2013,,Pune Warriors India,"20,00,000",Allrounder,Left Handed Bat,Left-arm medium-fast,India,Shrikant Wagh,2013-Pune Warriors India,Pace
1314,Sreenath Aravind,2013,,Royal Challengers Bangalore,"20,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Sreenath Aravind,2013-Royal Challengers Bangalore,Pace
1515,Wayne Parnell,2014,,Delhi Daredevils,"1,00,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,South Africa,Wayne Parnell,2014-Delhi Daredevils,Pace
2452,Corey Anderson,2014,,Mumbai Indians,"4,50,00,000",Allrounder,Left Handed Bat,Left-arm medium-fast,New Zealand,Corey Anderson,2014-Mumbai Indians,Pace
349,Irfan Pathan,2014,,Sunrisers Hyderabad,"2,40,00,000",Allrounder,Left Handed Bat,Left-arm medium-fast,India,Irfan Pathan,2014-Sunrisers Hyderabad,Pace
348,Irfan Pathan,2015,,Chennai Super Kings,"1,50,00,000",Allrounder,Left Handed Bat,Left-arm medium-fast,India,Irfan Pathan,2015-Chennai Super Kings,Pace
2451,Corey Anderson,2015,Injured,Mumbai Indians,"4,50,00,000",Allrounder,Left Handed Bat,Left-arm medium-fast,New Zealand,Corey Anderson,2015-Mumbai Indians,Pace
1313,Sreenath Aravind,2015,,Royal Challengers Bangalore,"10,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Sreenath Aravind,2015-Royal Challengers Bangalore,Pace
2450,Corey Anderson,2016,,Mumbai Indians,"4,50,00,000",Allrounder,Left Handed Bat,Left-arm medium-fast,New Zealand,Corey Anderson,2016-Mumbai Indians,Pace
347,Irfan Pathan,2016,,Rising Pune Supergiant,"1,00,00,000",Allrounder,Left Handed Bat,Left-arm medium-fast,India,Irfan Pathan,2016-Rising Pune Supergiant,Pace
1312,Sreenath Aravind,2016,,Royal Challengers Bangalore,"10,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Sreenath Aravind,2016-Royal Challengers Bangalore,Pace
2449,Corey Anderson,2017,,Delhi Daredevils,"1,00,00,000",Allrounder,Left Handed Bat,Left-arm medium-fast,New Zealand,Corey Anderson,2017-Delhi Daredevils,Pace
346,Irfan Pathan,2017,Replacement,Gujarat Lions,"50,00,000",Allrounder,Left Handed Bat,Left-arm medium-fast,India,Irfan Pathan,2017-Gujarat Lions,Pace
2834,Kulwant Khejroliya,2017,,Mumbai Indians,"10,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Kulwant Khejroliya,2017-Mumbai Indians,Pace
1311,Sreenath Aravind,2017,,Royal Challengers Bangalore,"10,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Sreenath Aravind,2017-Royal Challengers Bangalore,Pace
2975,Mohsin Khan,2018,,Mumbai Indians,"20,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Mohsin Khan,2018-Mumbai Indians,Pace
2448,Corey Anderson,2018,Replacement,Royal Challengers Bangalore,"2,00,00,000",Allrounder,Left Handed Bat,Left-arm medium-fast,New Zealand,Corey Anderson,2018-Royal Challengers Bangalore,Pace
2833,Kulwant Khejroliya,2018,,Royal Challengers Bangalore,"85,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Kulwant Khejroliya,2018-Royal Challengers Bangalore,Pace
3054,Arshdeep Singh,2019,,Kings XI Punjab,"20,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Arshdeep Singh,2019-Kings XI Punjab,Pace
2832,Kulwant Khejroliya,2019,Retain,Royal Challengers Bangalore,"85,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Kulwant Khejroliya,2019-Royal Challengers Bangalore,Pace
3053,Arshdeep Singh,2020,Retain,Kings XI Punjab,"20,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Arshdeep Singh,2020-Kings XI Punjab,Pace
2974,Mohsin Khan,2020,,Mumbai Indians,"20,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Mohsin Khan,2020-Mumbai Indians,Pace
3052,Arshdeep Singh,2021,,Punjab Kings,"20,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Arshdeep Singh,2021-Punjab Kings,Pace
2973,Mohsin Khan,2021,,Mumbai Indians,"20,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Mohsin Khan,2021-Mumbai Indians,Pace
3051,Arshdeep Singh,2022,,Punjab Kings,"4,00,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Arshdeep Singh,2022-Punjab Kings,Pace
2972,Mohsin Khan,2022,,Lucknow Super Giants,"20,00,000",Bowler,Left Handed Bat,Left-arm medium-fast,India,Mohsin Khan,2022-Lucknow Super Giants,Pace
630,Ashish Nehra,2008,,Mumbai Indians,"1,60,00,000",Bowler,Right Handed Bat,Left-arm medium-fast,India,Ashish Nehra,2008-Mumbai Indians,Pace
629,Ashish Nehra,2009,,Delhi Daredevils,"1,60,00,000",Bowler,Right Handed Bat,Left-arm medium-fast,India,Ashish Nehra,2009-Delhi Daredevils,Pace
628,Ashish Nehra,2010,,Delhi Daredevils,"1,60,00,000",Bowler,Right Handed Bat,Left-arm medium-fast,India,Ashish Nehra,2010-Delhi Daredevils,Pace
627,Ashish Nehra,2011,,Pune Warriors India,"3,91,00,000",Bowler,Right Handed Bat,Left-arm medium-fast,India,Ashish Nehra,2011-Pune Warriors India,Pace
626,Ashish Nehra,2012,,Pune Warriors India,"3,91,00,000",Bowler,Right Handed Bat,Left-arm medium-fast,India,Ashish Nehra,2012-Pune Warriors India,Pace
625,Ashish Nehra,2013,Transfer,Delhi Daredevils,"3,91,00,000",Bowler,Right Handed Bat,Left-arm medium-fast,India,Ashish Nehra,2013-Delhi Daredevils,Pace
624,Ashish Nehra,2014,,Chennai Super Kings,"2,00,00,000",Bowler,Right Handed Bat,Left-arm medium-fast,India,Ashish Nehra,2014-Chennai Super Kings,Pace
623,Ashish Nehra,2015,,Chennai Super Kings,"2,00,00,000",Bowler,Right Handed Bat,Left-arm medium-fast,India,Ashish Nehra,2015-Chennai Super Kings,Pace
622,Ashish Nehra,2016,,Sunrisers Hyderabad,"5,50,00,000",Bowler,Right Handed Bat,Left-arm medium-fast,India,Ashish Nehra,2016-Sunrisers Hyderabad,Pace
621,Ashish Nehra,2017,,Sunrisers Hyderabad,"5,50,00,000",Bowler,Right Handed Bat,Left-arm medium-fast,India,Ashish Nehra,2017-Sunrisers Hyderabad,Pace
3144,Akash Singh,2020,,Rajasthan Royals,"20,00,000",Bowler,Right Handed Bat,Left-arm medium-fast,India,Akash Singh,2020-Rajasthan Royals,Pace
3145,Isuru Udana,2020,,Royal Challengers Bangalore,"50,00,000",All-Rounder,Right Handed Bat,Left-arm medium-fast,SRI LANKA,Isuru Udana,2020-Royal Challengers Bangalore,Pace
3143,Akash Singh,2021,,Rajasthan Royals,"20,00,000",Bowler,Right Handed Bat,Left-arm medium-fast,India,Akash Singh,2021-Rajasthan Royals,Pace
3279,Shubham Garhwal,2022,,Rajasthan Royals,"20,00,000",All Rounder,Left Handed Bat,Left-arm orthodox,India,Shubham Garhwal,2022-Rajasthan Royals,Spin
597,Sanath Jayasuriya,2008,,Mumbai Indians,"3,91,56,000",Allrounder,Left Handed Bat,left-arm orthodox,Sri Lanka,Sanath Jayasuriya,2008-Mumbai Indians,Spin
173,Ravindra Jadeja,2008,,Rajasthan Royals,"12,00,000",Allrounder,Left Handed Bat,left-arm orthodox,India,Ravindra Jadeja,2008-Rajasthan Royals,Spin
889,Abdur Razzak,2008,,Royal Challengers Bangalore,"20,08,000",Bowler,Left Handed Bat,left-arm orthodox,Bangladesh,Abdur Razzak,2008-Royal Challengers Bangalore,Spin
596,Sanath Jayasuriya,2009,,Mumbai Indians,"4,78,92,000",Allrounder,Left Handed Bat,left-arm orthodox,Sri Lanka,Sanath Jayasuriya,2009-Mumbai Indians,Spin
172,Ravindra Jadeja,2009,,Rajasthan Royals,"12,00,000",Allrounder,Left Handed Bat,left-arm orthodox,India,Ravindra Jadeja,2009-Rajasthan Royals,Spin
1324,Chaitanya Bishnoi,2009,,Royal Challengers Bangalore,"6,00,000",Batsman,Left Handed Bat,left-arm orthodox,India,Chaitanya Bishnoi,2009-Royal Challengers Bangalore,Spin
595,Sanath Jayasuriya,2010,,Mumbai Indians,"4,51,32,750",Allrounder,Left Handed Bat,left-arm orthodox,Sri Lanka,Sanath Jayasuriya,2010-Mumbai Indians,Spin
171,Ravindra Jadeja,2011,,Kochi Tuskers Kerala,"4,37,00,000",Allrounder,Left Handed Bat,left-arm orthodox,India,Ravindra Jadeja,2011-Kochi Tuskers Kerala,Spin
1896,Abrar Kazi,2011,,Royal Challengers Bangalore,"10,00,000",Bowler,Left Handed Bat,left-arm orthodox,India,Abrar Kazi,2011-Royal Challengers Bangalore,Spin
170,Ravindra Jadeja,2012,,Chennai Super Kings,"9,20,00,000",Allrounder,Left Handed Bat,left-arm orthodox,India,Ravindra Jadeja,2012-Chennai Super Kings,Spin
1895,Abrar Kazi,2012,,Royal Challengers Bangalore,"10,00,000",Bowler,Left Handed Bat,left-arm orthodox,India,Abrar Kazi,2012-Royal Challengers Bangalore,Spin
169,Ravindra Jadeja,2013,,Chennai Super Kings,"9,20,00,000",Allrounder,Left Handed Bat,left-arm orthodox,India,Ravindra Jadeja,2013-Chennai Super Kings,Spin
168,Ravindra Jadeja,2014,,Chennai Super Kings,"5,50,00,000",Allrounder,Left Handed Bat,left-arm orthodox,India,Ravindra Jadeja,2014-Chennai Super Kings,Spin
167,Ravindra Jadeja,2015,,Chennai Super Kings,"5,50,00,000",Allrounder,Left Handed Bat,left-arm orthodox,India,Ravindra Jadeja,2015-Chennai Super Kings,Spin
166,Ravindra Jadeja,2016,,Gujarat Lions,"5,50,00,000",Allrounder,Left Handed Bat,left-arm orthodox,India,Ravindra Jadeja,2016-Gujarat Lions,Spin
165,Ravindra Jadeja,2017,,Gujarat Lions,"9,50,00,000",Allrounder,Left Handed Bat,left-arm orthodox,India,Ravindra Jadeja,2017-Gujarat Lions,Spin
164,Ravindra Jadeja,2018,,Chennai Super Kings,"7,00,00,000",Allrounder,Left Handed Bat,left-arm orthodox,India,Ravindra Jadeja,2018-Chennai Super Kings,Spin
1323,Chaitanya Bishnoi,2018,,Chennai Super Kings,"20,00,000",Batsman,Left Handed Bat,left-arm orthodox,India,Chaitanya Bishnoi,2018-Chennai Super Kings,Spin
163,Ravindra Jadeja,2019,Retain,Chennai Super Kings,"7,00,00,000",Allrounder,Left Handed Bat,left-arm orthodox,India,Ravindra Jadeja,2019-Chennai Super Kings,Spin
1322,Chaitanya Bishnoi,2019,Retain,Chennai Super Kings,"20,00,000",Batsman,Left Handed Bat,left-arm orthodox,India,Chaitanya Bishnoi,2019-Chennai Super Kings,Spin
162,Ravindra Jadeja,2020,Retain,Chennai Super Kings,"7,00,00,000",Allrounder,Left Handed Bat,left-arm orthodox,India,Ravindra Jadeja,2020-Chennai Super Kings,Spin
161,Ravindra Jadeja,2021,,Chennai Super Kings,"7,00,00,000",Allrounder,Left Handed Bat,left-arm orthodox,India,Ravindra Jadeja,2021-Chennai Super Kings,Spin
160,Ravindra Jadeja,2022,,Chennai Super Kings,"16,00,00,000",Allrounder,Left Handed Bat,left-arm orthodox,India,Ravindra Jadeja,2022-Chennai Super Kings,Spin
3280,Vicky Ostwal,2022,,Delhi Capitals,"20,00,000",Allrounder,Right Handed Bat,Left-arm orthodox,India,Vicky Ostwal,2022-Delhi Capitals,Spin
899,KP Appanna,2008,,Royal Challengers Bangalore,"4,00,000",Bowler,Right Handed Bat,left-arm orthodox,India,KP Appanna,2008-Royal Challengers Bangalore,Spin
1305,Morne Van Wyk,2009,,Kolkata Knight Riders,"14,73,600",Wicketkeeper Batsman,Right Handed Bat,left-arm orthodox,South Africa,Morne Van Wyk,2009-Kolkata Knight Riders,Spin
1394,Roelof Van der Merwe,2009,,Royal Challengers Bangalore,"14,73,600",Allrounder,Right Handed Bat,left-arm orthodox,Netherlands,Roelof Van der Merwe,2009-Royal Challengers Bangalore,Spin
898,KP Appanna,2009,,Royal Challengers Bangalore,"4,00,000",Bowler,Right Handed Bat,left-arm orthodox,India,KP Appanna,2009-Royal Challengers Bangalore,Spin
1393,Roelof Van der Merwe,2010,,Royal Challengers Bangalore,"13,88,700",Allrounder,Right Handed Bat,left-arm orthodox,Netherlands,Roelof Van der Merwe,2010-Royal Challengers Bangalore,Spin
897,KP Appanna,2010,,Royal Challengers Bangalore,"4,00,000",Bowler,Right Handed Bat,left-arm orthodox,India,KP Appanna,2010-Royal Challengers Bangalore,Spin
1392,Roelof Van der Merwe,2011,,Delhi Daredevils,"23,00,000",Allrounder,Right Handed Bat,left-arm orthodox,Netherlands,Roelof Van der Merwe,2011-Delhi Daredevils,Spin
1786,Vikas Mishra,2011,,Delhi Daredevils,"10,00,000",Bowler,Right Handed Bat,left-arm orthodox,India,Vikas Mishra,2011-Delhi Daredevils,Spin
