Player,Sal Name,Bat_role2,bat_hand,bowl_hand,bowl_stype,bowl_type,nationality,overseas
K Asif,KM Asif,Bowler,0,Right ,Medium,Pace,India,0
K Cooper,Kevon Cooper,Bowling Allrounder, Right Handed Bat ,Right ,Medium,Pace,West Indies,1
K Gowtham,Krishnappa Gowtham,Bowling Allrounder, Right Handed Bat ,Right ,Off Break,Spin,India,0
K Jadhav,Kedar Jadhav,Batting Allrounder, Right Handed Bat ,Right ,Off Break,Spin,India,0
K Jamieson,Kyle Jamieson,Bowler, Right Handed Bat ,Right ,Fast,Pace,New Zealand,1
K Karthik,Dinesh Karthik,WK-Batsman, Right Handed Bat ,0,0,0,India,0
K Kartikeya,Kumar Kartikeya Singh,Bowler, Right Handed Bat ,Left,Off Break,Spin,India,0
K Khejroliya,Kulwant Khejroliya,Bowler,0,Left,Medium,Pace,India,0
K Kulasekara,Nuwan Kulasekara,Bowler, Right Handed Bat ,Right ,Fast,Pace,Sri Lanka,1
K Nair,Karun Nair,Batsman, Right Handed Bat ,Right ,Off Break,Spin,India,0
K Pandya,Krunal Pandya,Batting Allrounder, Left Handed Bat,Left,Off Break,Spin,India,0
K Paul,Keemo Paul,Bowling Allrounder, Right Handed Bat ,Right ,Fast,Pace,West Indies,1
K Pietersen,Kevin Pietersen,Batsman, Right Handed Bat ,Right ,Off Break,Spin,England,1
K Pollard,Kieron Pollard,Batting Allrounder, Right Handed Bat ,Right ,Medium,Pace,West Indies,1
K Rabada,Kagiso Rabada,Bowler, Left Handed Bat ,Right ,Fast,Pace,South Africa,1
K Rahul,Lokesh Rahul,WK-Batsman, Right Handed Bat ,0,0,0,India,0
K Sangakkara,Kumar Sangakkara,WK-Batsman, Left Handed Bat ,Right ,Off Break,Spin,Sri Lanka,1
K Santokie,Krishmar Santokie,Bowler,0,Left,Medium,Pace,West Indies,1
K Sen,Kuldeep Sen,Bowler, Right Handed Bat ,Right ,Fast,Pace,India,0
K Sharma,Karn Sharma,Batsman, Right Handed Bat ,Left,Leg Break,Spin,India,0
K Singh,Karanveer Singh,Bowling Allrounder, Right Handed Bat ,Left,Leg Break,Spin,India,0
K Upadhyay,Krishnakant Upadhyay,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
K Williamson,Kane Williamson,Batsman, Right Handed Bat ,Right ,Off Break,Spin,New Zealand,1
K Yadav,Kuldip Yadav,Bowler, Left Handed Bat,Left,Fast,Pace,India,0
Kartik Tyagi,Kartik Tyagi,Bowler, Right Handed Bat ,Right ,Medium,Pace,India,0
KS Bharat,Srikar Bharat,WK-Batsman, Right Handed Bat ,0,0,0,India,0
KS Sharma,Karan Sharma,Batting Allrounder, Right Handed Bat ,0,0,0,India,0
L Ablish,Love Ablish,Batting Allrounder, Right Handed Bat ,Right ,Medium,Pace,India,0
L Livingstone,Liam Livingstone,Batsman, Right Handed Bat ,Right ,Both,0,England,1
L Meriwala,Lukman Hussain Meriwala,Bowler,0,Left,Fast,Pace,India,0
L Ngidi,Lungi Ngidi,Bowler,0,Right ,Fast,Pace,South Africa,1
L Plunkett,Liam Plunkett,Bowler, Right Handed Bat ,Right ,Fast,Pace,England,1
L Pomersbach,Luke Pomersbach,Batsman, Left Handed Bat ,Right ,Off Break,Spin,Australia,1
L Shukla,Laxmi Shukla,Batting Allrounder, Right Handed Bat ,Right ,Medium,Pace,India,0
L Simmons,Lendl Simmons,Batsman, Right Handed Bat ,Right ,Medium,Pace,West Indies,1
L Taylor,Ross Taylor,Batsman, Right Handed Bat ,Right ,Off Break,Spin,New Zealand,1
L Wright,Luke Wright,Bowling Allrounder, Right Handed Bat ,Right ,Medium,Pace,England,1
L Yadav,Lalit Yadav,Batting Allrounder, Right Handed Bat ,Right ,Off Break,Spin,India,0
M Agarwal,Mayank Agarwal,Batsman, Right Handed Bat ,0,0,0,India,0
M Ali,Moeen Ali,Batting Allrounder, Left Handed Bat ,Right ,Off Break,Spin,England,1
M Ashwin,Murugan Ashwin,Bowler, Right Handed Bat ,Left,Leg Break,Spin,India,0
M Bisla,Manvinder Bisla,WK-Batsman, Right Handed Bat ,0,0,0,India,0
